epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,39.771,1.29025,5.39447,0.01147,0.0039,0.66827,0.21867,0.14026,1.0321,6.38433,0.01134,0.000401786,0.000401786,0.000401786
2,48.7608,1.32343,4.37346,0.01189,0.77487,0.10257,0.28158,0.16923,1.07427,6.01814,0.01259,0.00081035,0.00081035,0.00081035
3,57.8708,1.33781,3.89699,0.01314,0.41748,0.22898,0.21236,0.11137,1.41953,5.7691,0.02086,0.00121066,0.00121066,0.00121066
4,66.7308,1.42263,3.35921,0.01342,0.36615,0.35559,0.32921,0.17636,1.39949,4.53879,0.0208,0.00121287,0.00121287,0.00121287
5,75.9887,1.41945,3.06794,0.015,0.43554,0.39433,0.3786,0.18793,1.49615,3.77245,0.02344,0.0012005,0.0012005,0.0012005
6,85.0487,1.45617,2.65867,0.01429,0.56628,0.42719,0.45381,0.25238,1.36019,2.95172,0.02044,0.00118812,0.00118812,0.00118812
7,94.0045,1.4371,2.38802,0.01348,0.53336,0.45856,0.46669,0.26083,1.39783,2.649,0.02106,0.00117575,0.00117575,0.00117575
8,102.83,1.38902,2.28432,0.01323,0.56725,0.46771,0.49342,0.2684,1.39448,2.55138,0.01955,0.00116337,0.00116337,0.00116337
9,111.911,1.42904,2.17023,0.01332,0.63867,0.46929,0.50945,0.31154,1.2731,2.30173,0.01829,0.001151,0.001151,0.001151
10,120.852,1.34365,2.02813,0.01264,0.48633,0.43355,0.39979,0.21641,1.39662,2.43244,0.02083,0.00113863,0.00113863,0.00113863
11,129.796,1.33135,1.97788,0.01295,0.58092,0.49607,0.48678,0.29418,1.31673,2.08758,0.01858,0.00112625,0.00112625,0.00112625
12,139.038,1.29931,1.93364,0.01266,0.56769,0.54077,0.541,0.32584,1.33986,1.99821,0.01944,0.00111388,0.00111388,0.00111388
13,147.908,1.32833,1.83368,0.01279,0.59899,0.50912,0.52325,0.31696,1.33764,2.01013,0.01963,0.0011015,0.0011015,0.0011015
14,156.901,1.38312,1.72963,0.01167,0.51494,0.56768,0.51714,0.33958,1.26303,1.91661,0.01696,0.00108913,0.00108913,0.00108913
15,165.963,1.2587,1.62987,0.01174,0.70148,0.44537,0.48968,0.30569,1.2922,1.9301,0.0186,0.00107675,0.00107675,0.00107675
16,174.846,1.32839,1.6767,0.0118,0.61627,0.50712,0.52748,0.33885,1.34003,1.78138,0.01837,0.00106437,0.00106437,0.00106437
17,183.835,1.28581,1.56399,0.01197,0.74077,0.44533,0.55615,0.36542,1.26157,1.83661,0.01708,0.001052,0.001052,0.001052
18,192.627,1.32528,1.56709,0.01242,0.65603,0.5488,0.58507,0.3748,1.27141,1.58912,0.01734,0.00103962,0.00103962,0.00103962
19,201.487,1.30071,1.61405,0.01187,0.59429,0.51431,0.54204,0.34775,1.21393,1.66339,0.01618,0.00102725,0.00102725,0.00102725
20,210.212,1.2864,1.54567,0.01221,0.58712,0.52031,0.54535,0.37197,1.24559,1.70736,0.01707,0.00101488,0.00101488,0.00101488
21,219.209,1.29745,1.48758,0.01258,0.71816,0.5494,0.61799,0.42132,1.24836,1.57103,0.01686,0.0010025,0.0010025,0.0010025
22,227.878,1.32076,1.44505,0.01081,0.61916,0.56742,0.57378,0.37884,1.25857,1.5914,0.01764,0.000990125,0.000990125,0.000990125
23,236.652,1.30632,1.47262,0.01207,0.61145,0.49902,0.52437,0.3433,1.22041,1.66431,0.01636,0.00097775,0.00097775,0.00097775
24,245.453,1.21461,1.39235,0.01256,0.69957,0.55749,0.60806,0.41801,1.22675,1.49828,0.01723,0.000965375,0.000965375,0.000965375
25,254.336,1.14803,1.33052,0.01125,0.70059,0.46998,0.54918,0.35801,1.29764,1.65642,0.0189,0.000953,0.000953,0.000953
